isocode,country,year,igov_n,ipriv_n,GDP_n,igov_rppp,ipriv_rppp,ippp_rppp,GDP_rppp
KEN,Kenya,1960,,,9.16479206085205,0.7656639814376831,2.316446304321289,,21.081186294555664
KEN,Kenya,1961,,,9.186690330505371,0.7962905168533325,2.409104108810425,,20.327787399291992
KEN,Kenya,1962,,,10.076743125915527,0.8281421661376953,2.5054683685302734,,22.005268096923828
KEN,Kenya,1963,,,10.777825355529785,0.8612678647041321,2.605687141418457,,22.95661735534668
KEN,Kenya,1964,,,11.523905754089355,0.8957185745239258,2.709914445877075,,24.324865341186523
KEN,Kenya,1965,,,11.588093757629395,0.9315472841262817,2.8183109760284424,,25.506301879882812
KEN,Kenya,1966,,,13.287447929382324,0.9688091278076172,2.9310431480407715,,28.541318893432617
KEN,Kenya,1967,,,14.105195045471191,1.007561445236206,3.0482847690582275,,29.75074577331543
KEN,Kenya,1968,,,15.410594940185547,1.0478639602661133,3.1702160835266113,,29.74360466003418
KEN,Kenya,1969,,,16.53849220275879,1.0490087270736694,3.337794303894043,,31.639259338378906
KEN,Kenya,1970,0.6823607087135315,2.171173334121704,17.989185333251953,1.1175938844680786,3.5560224056243896,,29.964548110961914
KEN,Kenya,1971,1.0470044612884521,2.589357376098633,19.935659408569336,1.597968339920044,3.951951742172241,,31.912532806396484
KEN,Kenya,1972,1.0666264295578003,2.973775625228882,22.35305404663086,1.400864601135254,3.9056379795074463,,33.516754150390625
KEN,Kenya,1973,1.096321702003479,3.338265895843506,25.915292739868164,1.290561318397522,3.929719924926758,,35.260658264160156
KEN,Kenya,1974,1.1018743515014648,3.899355173110962,31.407079696655273,1.0188894271850586,3.605684280395508,,36.989280700683594
KEN,Kenya,1975,1.288028359413147,4.674028396606445,35.44428253173828,1.0244821310043335,3.717665433883667,,36.851600646972656
KEN,Kenya,1976,1.6443836688995361,5.500229835510254,43.04372787475586,1.0788109302520752,3.608468770980835,,38.33545684814453
KEN,Kenya,1977,2.4415385723114014,7.16673469543457,55.03660202026367,1.440045714378357,4.227016925811768,,41.8538703918457
KEN,Kenya,1978,3.9324069023132324,8.730805397033691,60.85492706298828,2.073833465576172,4.604364395141602,,45.61705017089844
KEN,Kenya,1979,3.906259775161743,9.397503852844238,67.50444030761719,1.8135625123977661,4.3629865646362305,,47.33036804199219
KEN,Kenya,1980,4.436773777008057,10.911826133728027,78.04273223876953,1.828486442565918,4.496989727020264,,49.976829528808594
KEN,Kenya,1981,5.085870742797852,12.84957218170166,89.73875427246094,1.8759244680404663,4.739567279815674,,51.85841369628906
KEN,Kenya,1982,4.470855236053467,11.986391067504883,104.34393310546875,1.4224258661270142,3.8135323524475098,,53.77060317993164
KEN,Kenya,1983,4.054091453552246,13.610347747802734,118.2366714477539,1.0361815690994263,3.478656530380249,,54.5048828125
KEN,Kenya,1984,4.524772644042969,15.356962203979492,132.57467651367188,1.00788414478302,3.4207327365875244,,55.46862030029297
KEN,Kenya,1985,5.046637058258057,16.781389236450195,149.703125,1.0818862915039062,3.597555160522461,0.0,57.83972930908203
KEN,Kenya,1986,7.068576812744141,21.337421417236328,174.3716278076172,1.3029208183288574,3.9330368041992188,0.0,61.9853401184082
KEN,Kenya,1987,6.95492696762085,24.752376556396484,194.6763916015625,1.2172681093215942,4.332220554351807,0.0,65.65673065185547
KEN,Kenya,1988,9.301128387451172,28.09722900390625,224.4210968017578,1.495195984840393,4.516749382019043,0.0,69.72586059570312
KEN,Kenya,1989,8.958585739135742,31.88889503479004,254.67044067382812,1.3064942359924316,4.650583744049072,0.0,72.99952697753906
KEN,Kenya,1990,14.216717720031738,35.74630355834961,290.20379638671875,1.7552746534347534,4.4134368896484375,0.0,76.07430267333984
KEN,Kenya,1991,14.239131927490234,38.33536911010742,328.3791198730469,1.617644190788269,4.3551106452941895,0.0,77.14513397216797
KEN,Kenya,1992,14.364354133605957,39.56515884399414,380.1800231933594,1.5219725370407104,4.192119598388672,0.0,76.5332260131836
KEN,Kenya,1993,18.12778091430664,51.470611572265625,475.2027587890625,1.4352264404296875,4.075070381164551,0.0,76.80858612060547
KEN,Kenya,1994,26.840930938720703,66.31005096435547,584.355712890625,1.806840419769287,4.4637675285339355,0.0,78.82785034179688
KEN,Kenya,1995,27.25339698791504,95.31368255615234,690.5994873046875,1.6086746454238892,5.626040458679199,0.0,82.30038452148438
KEN,Kenya,1996,29.462724685668945,99.2142333984375,784.7910766601562,1.6780444383621216,5.650729656219482,0.06440874934196472,85.71170806884766
KEN,Kenya,1997,31.11726951599121,107.3649673461914,878.5404663085938,1.698177695274353,5.859280109405518,0.06346298009157181,85.94341278076172
KEN,Kenya,1998,31.0023193359375,124.80718231201172,971.0341796875,1.6254206895828247,6.543516159057617,0.09646816551685333,88.82738494873047
KEN,Kenya,1999,30.580089569091797,134.6185302734375,1032.966552734375,1.5007154941558838,6.606393814086914,0.20113904774188995,90.6968994140625
KEN,Kenya,2000,32.48561096191406,156.44232177734375,1101.8629150390625,1.5091513395309448,7.267683029174805,0.20624186098575592,91.14823913574219
KEN,Kenya,2001,36.8067741394043,179.5432891845703,1170.600830078125,1.6780530214309692,8.185535430908203,0.13782629370689392,95.21998596191406
KEN,Kenya,2002,36.10944747924805,172.4056396484375,1188.5035400390625,1.6045807600021362,7.661118507385254,0.13465473055839539,95.76441955566406
KEN,Kenya,2003,37.888553619384766,171.53048706054688,1298.85498046875,1.542087435722351,6.981395721435547,0.08591935783624649,98.54661560058594
KEN,Kenya,2004,43.18506622314453,198.8785858154297,1462.441650390625,1.632154107093811,7.516498565673828,0.0,103.57606506347656
KEN,Kenya,2005,52.068084716796875,257.20941162109375,1624.831298828125,1.9683754444122314,9.723511695861816,0.0,109.69978332519531
KEN,Kenya,2006,53.70599365234375,307.9850158691406,1862.093505859375,2.057957410812378,11.80166244506836,0.111618272960186,116.63922119140625
KEN,Kenya,2007,70.75881958007812,358.7521667480469,2151.42529296875,2.3334546089172363,11.830777168273926,0.09634681791067123,124.6299057006836
KEN,Kenya,2008,104.03612518310547,364.390869140625,2483.177978515625,3.5501811504364014,12.434656143188477,0.19923238456249237,124.91963958740234
KEN,Kenya,2009,147.3083038330078,382.614501953125,2863.74951171875,4.886403560638428,12.691808700561523,0.2704421281814575,129.05056762695312
KEN,Kenya,2010,189.4741973876953,454.58489990234375,3169.300537109375,5.887698650360107,14.125717163085938,0.25950339436531067,139.89073181152344
KEN,Kenya,2011,215.71408081054688,543.3759765625,3725.91845703125,5.9527153968811035,14.994674682617188,0.2401752918958664,148.44029235839844
KEN,Kenya,2012,259.3349609375,644.8655395507812,4261.150390625,6.785977840423584,16.874095916748047,0.3693827986717224,155.2017059326172
KEN,Kenya,2013,298.0619201660156,679.4537353515625,4745.09033203125,7.334467887878418,16.719449996948242,0.4933469295501709,164.33851623535156
KEN,Kenya,2014,306.8024597167969,929.3041381835938,5402.41015625,6.818106651306152,20.652034759521484,0.72681725025177,173.1353759765625
KEN,Kenya,2015,411.9729919433594,946.3934326171875,6284.1845703125,8.88005542755127,20.399459838867188,0.7871999740600586,183.04347229003906
KEN,Kenya,2016,582.9354858398438,655.2283935546875,7022.962890625,12.512591361999512,14.06434440612793,0.7410042881965637,193.8044891357422
KEN,Kenya,2017,614.5131225585938,878.3712768554688,8165.84228515625,11.849780082702637,16.93781089782715,0.5732619166374207,203.11814880371094
KEN,Kenya,2018,610.6943969726562,925.0216674804688,8892.111328125,11.596217155456543,17.564842224121094,0.545275092124939,215.95208740234375
KEN,Kenya,2019,686.2855224609375,945.585205078125,9740.3603515625,12.558719635009766,17.303787231445312,0.3122889995574951,227.53952026367188
